{'origin_city': 'Houston', 'origin_state': 'TX', 'origin_country': 'USA', 'origin_postal': '77002', 'origin_lat': 29.7604, 'origin_lon': -95.3698, 'destination_city': 'Monterrey', 'destination_state': 'NL', 'destination_country': 'Mexico', 'destination_postal': '64000', 'destination_lat': 25.68661, 'destination_lon': -100.31612, 'service_type': 'LTL', 'equipment_type': 'Flatbed', 'rate': 980.29},
{'origin_city': 'Chicago', 'origin_state': 'IL', 'origin_country': 'USA', 'origin_postal': '60601', 'origin_lat': 41.8781, 'origin_lon': -87.6298, 'destination_city': 'Toronto', 'destination_state': 'ON', 'destination_country': 'Canada', 'destination_postal': 'M5H 2N2', 'destination_lat': 43.65107, 'destination_lon': -79.347015, 'service_type': 'LTL', 'equipment_type': 'Reefer', 'rate': 1698.87},
{'origin_city': 'Detroit', 'origin_state': 'MI', 'origin_country': 'USA', 'origin_postal': '48226', 'origin_lat': 42.33143, 'origin_lon': -83.04575, 'destination_city': 'Calgary', 'destination_state': 'AB', 'destination_country': 'Canada', 'destination_postal': 'T2P 1J9', 'destination_lat': 51.0447, 'destination_lon': -114.0719, 'service_type': 'LTL', 'equipment_type': 'Dry Van', 'rate': 881.95},
{'origin_city': 'Montreal', 'origin_state': 'QC', 'origin_country': 'Canada', 'origin_postal': 'H2Y 1C6', 'origin_lat': 45.5017, 'origin_lon': -73.5673, 'destination_city': 'Guadalajara', 'destination_state': 'JA', 'destination_country': 'Mexico', 'destination_postal': '44100', 'destination_lat': 20.6597, 'destination_lon': -103.3496, 'service_type': 'FTL', 'equipment_type': 'Straight Truck', 'rate': 2914.75},
{'origin_city': 'Calgary', 'origin_state': 'AB', 'origin_country': 'Canada', 'origin_postal': 'T2P 1J9', 'origin_lat': 51.0447, 'origin_lon': -114.0719, 'destination_city': 'Montreal', 'destination_state': 'QC', 'destination_country': 'Canada', 'destination_postal': 'H2Y 1C6', 'destination_lat': 45.5017, 'destination_lon': -73.5673, 'service_type': 'LTL', 'equipment_type': 'Straight Truck', 'rate': 1947.78},
{'origin_city': 'Chicago', 'origin_state': 'IL', 'origin_country': 'USA', 'origin_postal': '60601', 'origin_lat': 41.8781, 'origin_lon': -87.6298, 'destination_city': 'Calgary', 'destination_state': 'AB', 'destination_country': 'Canada', 'destination_postal': 'T2P 1J9', 'destination_lat': 51.0447, 'destination_lon': -114.0719, 'service_type': 'LTL', 'equipment_type': 'Sprinter', 'rate': 1352.95},
{'origin_city': 'Houston', 'origin_state': 'TX', 'origin_country': 'USA', 'origin_postal': '77002', 'origin_lat': 29.7604, 'origin_lon': -95.3698, 'destination_city': 'Vancouver', 'destination_state': 'BC', 'destination_country': 'Canada', 'destination_postal': 'V6B 2Y5', 'destination_lat': 49.2827, 'destination_lon': -123.1207, 'service_type': 'FTL', 'equipment_type': 'Flatbed', 'rate': 2609.47},
{'origin_city': 'Montreal', 'origin_state': 'QC', 'origin_country': 'Canada', 'origin_postal': 'H2Y 1C6', 'origin_lat': 45.5017, 'origin_lon': -73.5673, 'destination_city': 'Guadalajara', 'destination_state': 'JA', 'destination_country': 'Mexico', 'destination_postal': '44100', 'destination_lat': 20.6597, 'destination_lon': -103.3496, 'service_type': 'LTL', 'equipment_type': 'Straight Truck', 'rate': 769.78},
{'origin_city': 'Monterrey', 'origin_state': 'NL', 'origin_country': 'Mexico', 'origin_postal': '64000', 'origin_lat': 25.68661, 'origin_lon': -100.31612, 'destination_city': 'Los Angeles', 'destination_state': 'CA', 'destination_country': 'USA', 'destination_postal': '90001', 'destination_lat': 34.0522, 'destination_lon': -118.2437, 'service_type': 'FTL', 'equipment_type': 'Straight Truck', 'rate': 1776.64},
{'origin_city': 'Montreal', 'origin_state': 'QC', 'origin_country': 'Canada', 'origin_postal': 'H2Y 1C6', 'origin_lat': 45.5017, 'origin_lon': -73.5673, 'destination_city': 'Houston', 'destination_state': 'TX', 'destination_country': 'USA', 'destination_postal': '77002', 'destination_lat': 29.7604, 'destination_lon': -95.3698, 'service_type': 'FTL', 'equipment_type': 'Flatbed', 'rate': 2743.72},
{'origin_city': 'Houston', 'origin_state': 'TX', 'origin_country': 'USA', 'origin_postal': '77002', 'origin_lat': 29.7604, 'origin_lon': -95.3698, 'destination_city': 'Calgary', 'destination_state': 'AB', 'destination_country': 'Canada', 'destination_postal': 'T2P 1J9', 'destination_lat': 51.0447, 'destination_lon': -114.0719, 'service_type': 'LTL', 'equipment_type': 'Dry Van', 'rate': 525.34},
{'origin_city': 'Chicago', 'origin_state': 'IL', 'origin_country': 'USA', 'origin_postal': '60601', 'origin_lat': 41.8781, 'origin_lon': -87.6298, 'destination_city': 'Vancouver', 'destination_state': 'BC', 'destination_country': 'Canada', 'destination_postal': 'V6B 2Y5', 'destination_lat': 49.2827, 'destination_lon': -123.1207, 'service_type': 'FTL', 'equipment_type': 'Sprinter', 'rate': 647.5},
{'origin_city': 'Detroit', 'origin_state': 'MI', 'origin_country': 'USA', 'origin_postal': '48226', 'origin_lat': 42.33143, 'origin_lon': -83.04575, 'destination_city': 'Calgary', 'destination_state': 'AB', 'destination_country': 'Canada', 'destination_postal': 'T2P 1J9', 'destination_lat': 51.0447, 'destination_lon': -114.0719, 'service_type': 'FTL', 'equipment_type': 'Reefer', 'rate': 817.04},
{'origin_city': 'Mexico City', 'origin_state': 'CMX', 'origin_country': 'Mexico', 'origin_postal': '01000', 'origin_lat': 19.4326, 'origin_lon': -99.1332, 'destination_city': 'Toronto', 'destination_state': 'ON', 'destination_country': 'Canada', 'destination_postal': 'M5H 2N2', 'destination_lat': 43.65107, 'destination_lon': -79.347015, 'service_type': 'FTL', 'equipment_type': 'Sprinter', 'rate': 1854.51},
{'origin_city': 'Calgary', 'origin_state': 'AB', 'origin_country': 'Canada', 'origin_postal': 'T2P 1J9', 'origin_lat': 51.0447, 'origin_lon': -114.0719, 'destination_city': 'Monterrey', 'destination_state': 'NL', 'destination_country': 'Mexico', 'destination_postal': '64000', 'destination_lat': 25.68661, 'destination_lon': -100.31612, 'service_type': 'FTL', 'equipment_type': 'Straight Truck', 'rate': 1129.95},
{'origin_city': 'Chicago', 'origin_state': 'IL', 'origin_country': 'USA', 'origin_postal': '60601', 'origin_lat': 41.8781, 'origin_lon': -87.6298, 'destination_city': 'Los Angeles', 'destination_state': 'CA', 'destination_country': 'USA', 'destination_postal': '90001', 'destination_lat': 34.0522, 'destination_lon': -118.2437, 'service_type': 'FTL', 'equipment_type': 'Flatbed', 'rate': 1658.28},
{'origin_city': 'Chicago', 'origin_state': 'IL', 'origin_country': 'USA', 'origin_postal': '60601', 'origin_lat': 41.8781, 'origin_lon': -87.6298, 'destination_city': 'Monterrey', 'destination_state': 'NL', 'destination_country': 'Mexico', 'destination_postal': '64000', 'destination_lat': 25.68661, 'destination_lon': -100.31612, 'service_type': 'LTL', 'equipment_type': 'Dry Van', 'rate': 543.26},
{'origin_city': 'Calgary', 'origin_state': 'AB', 'origin_country': 'Canada', 'origin_postal': 'T2P 1J9', 'origin_lat': 51.0447, 'origin_lon': -114.0719, 'destination_city': 'Toronto', 'destination_state': 'ON', 'destination_country': 'Canada', 'destination_postal': 'M5H 2N2', 'destination_lat': 43.65107, 'destination_lon': -79.347015, 'service_type': 'FTL', 'equipment_type': 'Dry Van', 'rate': 2293.55},
{'origin_city': 'Montreal', 'origin_state': 'QC', 'origin_country': 'Canada', 'origin_postal': 'H2Y 1C6', 'origin_lat': 45.5017, 'origin_lon': -73.5673, 'destination_city': 'Houston', 'destination_state': 'TX', 'destination_country': 'USA', 'destination_postal': '77002', 'destination_lat': 29.7604, 'destination_lon': -95.3698, 'service_type': 'FTL', 'equipment_type': 'Straight Truck', 'rate': 1861.24},
{'origin_city': 'Toronto', 'origin_state': 'ON', 'origin_country': 'Canada', 'origin_postal': 'M5H 2N2', 'origin_lat': 43.65107, 'origin_lon': -79.347015, 'destination_city': 'Houston', 'destination_state': 'TX', 'destination_country': 'USA', 'destination_postal': '77002', 'destination_lat': 29.7604, 'destination_lon': -95.3698, 'service_type': 'FTL', 'equipment_type': 'Flatbed', 'rate': 1227.13},
{'origin_city': 'Montreal', 'origin_state': 'QC', 'origin_country': 'Canada', 'origin_postal': 'H2Y 1C6', 'origin_lat': 45.5017, 'origin_lon': -73.5673, 'destination_city': 'Calgary', 'destination_state': 'AB', 'destination_country': 'Canada', 'destination_postal': 'T2P 1J9', 'destination_lat': 51.0447, 'destination_lon': -114.0719, 'service_type': 'FTL', 'equipment_type': 'Flatbed', 'rate': 624.87},
